               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.011848,           0.0063636,          0.00088672,             0.76339,             0.93488,             0.77222,              0.7494,           0.0058846,           0.0040397,          0.00056822,            0.005347,            0.005347,            0.005347
                  49,            0.011788,           0.0063574,          0.00089249,             0.76332,             0.93488,             0.77239,             0.74956,           0.0058691,           0.0040407,          0.00056265,            0.005248,            0.005248,            0.005248
                  50,            0.011805,           0.0064521,          0.00083798,              0.7634,             0.93519,             0.77195,             0.74909,           0.0058645,           0.0040471,          0.00055743,            0.005149,            0.005149,            0.005149
                  51,              0.0116,           0.0064112,          0.00079851,             0.76336,             0.93534,             0.77199,             0.74927,           0.0058479,           0.0040489,          0.00055383,             0.00505,             0.00505,             0.00505
                  52,            0.011568,           0.0063798,          0.00078669,             0.76344,              0.9364,             0.77141,             0.74875,           0.0058265,           0.0040463,          0.00055074,            0.004951,            0.004951,            0.004951
                  53,            0.011419,           0.0063041,          0.00078133,              0.7635,             0.93693,              0.7714,             0.74904,           0.0058114,           0.0040482,           0.0005469,            0.004852,            0.004852,            0.004852
                  54,            0.011261,           0.0063747,          0.00079583,              0.7634,             0.93693,             0.77174,             0.74926,           0.0058036,            0.004044,          0.00054347,            0.004753,            0.004753,            0.004753
                  55,            0.011213,           0.0063132,           0.0007543,             0.76344,             0.93693,             0.77151,             0.74918,           0.0057959,           0.0040412,          0.00054178,            0.004654,            0.004654,            0.004654
                  56,            0.011209,           0.0063096,           0.0007245,             0.76359,             0.93744,              0.7715,             0.74919,            0.005788,           0.0040362,          0.00054108,            0.004555,            0.004555,            0.004555
                  57,            0.011089,           0.0062707,          0.00076426,             0.76339,             0.93618,             0.77158,             0.74938,           0.0057813,           0.0040321,          0.00053821,            0.004456,            0.004456,            0.004456
                  58,            0.011035,            0.006193,           0.0007826,             0.76354,             0.93671,             0.77148,             0.74897,            0.005773,           0.0040279,          0.00053615,            0.004357,            0.004357,            0.004357
                  59,            0.010934,           0.0062816,          0.00070557,             0.76359,             0.93665,             0.77223,             0.74995,           0.0057626,           0.0040253,          0.00053523,            0.004258,            0.004258,            0.004258
                  60,            0.010974,            0.006279,          0.00074816,             0.76352,             0.93542,             0.77157,              0.7493,           0.0057558,           0.0040235,          0.00053211,            0.004159,            0.004159,            0.004159
                  61,            0.010838,           0.0062318,          0.00069134,             0.76346,             0.93467,             0.77173,             0.74961,             0.00575,           0.0040201,          0.00053107,             0.00406,             0.00406,             0.00406
                  62,            0.010737,           0.0061852,          0.00066184,             0.76341,             0.93413,              0.7713,             0.74919,           0.0057426,           0.0040144,          0.00052984,            0.003961,            0.003961,            0.003961
                  63,            0.010642,           0.0061542,          0.00064081,             0.76345,             0.93413,             0.77119,             0.74917,           0.0057345,           0.0040112,          0.00052713,            0.003862,            0.003862,            0.003862
                  64,            0.010475,           0.0061618,          0.00061492,             0.76349,             0.93413,             0.77127,             0.74943,           0.0057238,           0.0040072,          0.00052631,            0.003763,            0.003763,            0.003763
                  65,            0.010483,           0.0061437,          0.00059811,             0.76356,             0.93413,             0.77198,              0.7502,           0.0057231,           0.0040042,          0.00052404,            0.003664,            0.003664,            0.003664
                  66,            0.010422,           0.0061187,          0.00060431,             0.76374,             0.93413,             0.77077,             0.74923,           0.0057198,           0.0039999,          0.00052127,            0.003565,            0.003565,            0.003565
                  67,            0.010254,           0.0060825,          0.00058456,             0.76378,             0.93413,             0.77117,             0.74968,           0.0057134,           0.0039963,          0.00051852,            0.003466,            0.003466,            0.003466
                  68,            0.010184,           0.0060849,           0.0005538,              0.7636,             0.93283,             0.77227,             0.75096,           0.0057071,           0.0039932,          0.00051532,            0.003367,            0.003367,            0.003367
                  69,             0.01014,           0.0060976,          0.00058272,             0.76372,             0.93283,              0.7706,             0.74934,           0.0056984,           0.0039903,          0.00051261,            0.003268,            0.003268,            0.003268
                  70,            0.010057,           0.0060922,          0.00055181,             0.76392,             0.93283,             0.77076,             0.74978,           0.0056912,           0.0039851,          0.00050989,            0.003169,            0.003169,            0.003169
                  71,            0.010021,           0.0060262,          0.00056487,             0.76403,             0.93283,             0.77139,             0.75021,           0.0056861,           0.0039801,          0.00050768,             0.00307,             0.00307,             0.00307
                  72,           0.0098725,           0.0060182,           0.0005252,             0.76407,             0.93208,             0.77111,             0.75007,            0.005678,           0.0039735,          0.00050423,            0.002971,            0.002971,            0.002971
                  73,           0.0098022,           0.0060273,          0.00050016,             0.76432,             0.93182,             0.77124,             0.75042,           0.0056717,           0.0039689,          0.00050086,            0.002872,            0.002872,            0.002872
                  74,           0.0098492,           0.0059492,          0.00050813,             0.76445,             0.93154,             0.77074,             0.75001,           0.0056646,            0.003963,          0.00049703,            0.002773,            0.002773,            0.002773
                  75,           0.0097086,           0.0059709,          0.00049203,              0.7646,             0.93154,             0.77094,             0.75005,           0.0056556,           0.0039588,          0.00049309,            0.002674,            0.002674,            0.002674
                  76,           0.0095774,           0.0059676,          0.00048349,             0.76468,             0.93154,             0.77108,             0.75054,            0.005646,           0.0039543,          0.00048944,            0.002575,            0.002575,            0.002575
                  77,            0.009502,           0.0059713,          0.00047624,             0.76463,             0.93047,             0.77114,             0.75063,           0.0056392,           0.0039487,          0.00048578,            0.002476,            0.002476,            0.002476
                  78,           0.0093374,           0.0059174,          0.00044957,              0.7645,             0.93057,             0.77244,             0.75177,           0.0056324,           0.0039435,          0.00048127,            0.002377,            0.002377,            0.002377
                  79,           0.0093177,           0.0059029,          0.00044566,             0.76489,             0.92971,             0.77177,             0.75129,           0.0056244,           0.0039372,          0.00047672,            0.002278,            0.002278,            0.002278
                  80,           0.0092139,           0.0058464,          0.00042436,             0.76458,             0.93047,             0.77197,             0.75164,           0.0056185,           0.0039321,          0.00047203,            0.002179,            0.002179,            0.002179
                  81,           0.0090757,           0.0058175,          0.00040741,             0.76467,             0.92971,             0.77194,             0.75172,           0.0056141,           0.0039264,          0.00046631,             0.00208,             0.00208,             0.00208
                  82,           0.0090971,           0.0058461,           0.0003842,             0.76494,             0.92971,             0.77178,             0.75158,           0.0056082,           0.0039215,          0.00046139,            0.001981,            0.001981,            0.001981
                  83,           0.0089846,           0.0058106,          0.00039265,             0.76518,             0.92971,              0.7721,             0.75208,            0.005603,            0.003917,          0.00045754,            0.001882,            0.001882,            0.001882
                  84,           0.0089109,           0.0057591,          0.00037408,             0.76544,             0.92971,             0.77297,             0.75315,           0.0055956,           0.0039117,          0.00045308,            0.001783,            0.001783,            0.001783
                  85,           0.0087961,           0.0057763,          0.00035088,             0.76554,             0.93047,             0.77329,             0.75338,           0.0055847,           0.0039077,          0.00044883,            0.001684,            0.001684,            0.001684
                  86,           0.0086266,           0.0058152,            0.000339,             0.76557,             0.92988,             0.77335,             0.75354,           0.0055764,           0.0039031,          0.00044478,            0.001585,            0.001585,            0.001585
                  87,           0.0086316,           0.0057714,          0.00033021,             0.76566,             0.92876,             0.77338,             0.75358,           0.0055665,           0.0038962,          0.00044077,            0.001486,            0.001486,            0.001486
                  88,           0.0085032,           0.0057288,          0.00030377,             0.76623,             0.92876,             0.77269,             0.75305,           0.0055615,            0.003891,          0.00043667,            0.001387,            0.001387,            0.001387
                  89,           0.0083629,           0.0057269,          0.00028728,             0.76641,             0.92876,             0.77409,             0.75454,           0.0055528,           0.0038867,          0.00043283,            0.001288,            0.001288,            0.001288
                  90,           0.0083189,           0.0056826,          0.00028578,             0.76613,             0.92702,             0.77358,              0.7542,           0.0055447,           0.0038818,          0.00042856,            0.001189,            0.001189,            0.001189
                  91,           0.0081581,           0.0056717,          0.00027646,             0.76633,             0.92704,              0.7746,             0.75522,           0.0055391,           0.0038748,          0.00042453,             0.00109,             0.00109,             0.00109
                  92,           0.0080639,           0.0056413,           0.0002428,              0.7664,             0.92702,             0.77404,             0.75503,           0.0055342,           0.0038689,          0.00042048,            0.000991,            0.000991,            0.000991
                  93,            0.007972,           0.0056666,          0.00023526,             0.76653,             0.92687,             0.77374,             0.75486,           0.0055269,           0.0038629,          0.00041656,            0.000892,            0.000892,            0.000892
                  94,           0.0079105,           0.0056177,          0.00021866,             0.76689,             0.92723,             0.77396,             0.75542,           0.0055206,           0.0038595,          0.00041305,            0.000793,            0.000793,            0.000793
                  95,           0.0077873,           0.0056249,          0.00020561,             0.76705,             0.92719,             0.77489,             0.75628,           0.0055172,           0.0038562,          0.00040927,            0.000694,            0.000694,            0.000694
                  96,           0.0076425,           0.0055722,          0.00018612,             0.76692,             0.92839,             0.77511,             0.75655,           0.0055126,           0.0038528,          0.00040565,            0.000595,            0.000595,            0.000595
                  97,           0.0075844,           0.0055408,          0.00017339,             0.76689,             0.93005,             0.77605,             0.75744,           0.0055082,           0.0038489,          0.00040233,            0.000496,            0.000496,            0.000496
                  98,           0.0074708,           0.0055606,          0.00016597,             0.76686,             0.92951,             0.77579,             0.75721,           0.0055031,            0.003844,          0.00039892,            0.000397,            0.000397,            0.000397
                  99,           0.0073953,           0.0055148,          0.00014839,             0.76715,             0.92951,             0.77605,             0.75775,           0.0054994,           0.0038391,          0.00039569,            0.000298,            0.000298,            0.000298
